,cik_str,ticker,Company
0,320193,AAPL,Apple Inc.
1,789019,MSFT,Microsoft Corp
2,1652044,GOOGL,Alphabet Inc.
3,1018724,AMZN,Amazon Com Inc
4,1045810,NVDA,Nvidia Corp
5,1318605,TSLA,"Tesla, Inc."
7,1326801,META,"Meta Platforms, Inc."
8,59478,LLY,Eli Lilly & Co
9,1403161,V,Visa Inc.
10,1046179,TSM,Taiwan Semiconductor Manufacturing Co Ltd
11,34088,XOM,Exxon Mobil Corp
12,731766,UNH,Unitedhealth Group Inc
13,104169,WMT,Walmart Inc.
14,353278,NVO,Novo Nordisk A S
15,19617,JPM,Jpmorgan Chase & Co
16,884394,SPY,Spdr S&P 500 Etf Trust
17,200406,JNJ,Johnson & Johnson
18,1141391,MA,Mastercard Inc
19,824046,LVMUY,Lvmh Moet Hennessy Louis Vuitton
20,80424,PG,Procter & Gamble Co
21,1730168,AVGO,Broadcom Inc.
22,1047716,LTMAY,Latam Airlines Group S.A.
23,354950,HD,"Home Depot, Inc."
24,93410,CVX,Chevron Corp
25,1341439,ORCL,Oracle Corp
26,310158,MRK,"Merck & Co., Inc."
27,1551152,ABBV,Abbvie Inc.
28,21344,KO,Coca Cola Co
29,796343,ADBE,Adobe Inc.
30,1094517,TM,Toyota Motor Corp/
31,77476,PEP,Pepsico Inc
32,909832,COST,Costco Wholesale Corp /New
33,937966,ASML,Asml Holding Nv
34,70858,BAC,Bank Of America Corp /De/
35,858877,CSCO,"Cisco Systems, Inc."
36,1577552,BABA,Alibaba Group Holding Ltd
37,1108524,CRM,"Salesforce, Inc."
38,1306965,SHEL,Shell Plc
39,901832,AZN,Astrazeneca Plc
40,1114448,NVS,Novartis Ag
41,63908,MCD,Mcdonalds Corp
42,1467373,ACN,Accenture Plc
43,97745,TMO,Thermo Fisher Scientific Inc.
44,1061736,FMX,Mexican Economic Development Inc
45,78003,PFE,Pfizer Inc
46,1707925,LIN,Linde Plc
47,313616,DHR,Danaher Corp /De/
48,1166691,CMCSA,Comcast Corp
49,1065280,NFLX,Netflix Inc
50,1800,ABT,Abbott Laboratories
51,2488,AMD,Advanced Micro Devices Inc
52,1283699,TMUS,"T-Mobile Us, Inc."
53,1144967,HDB,Hdfc Bank Ltd
54,50863,INTC,Intel Corp
55,1000184,SAP,Sap Se
56,879764,TTE,Totalenergies Se
